Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo
2022-01-06,01:00,IFB - Samambaia,DF10,PTS,7.02,ug/m3,manual
2022-01-12,01:00,IFB - Samambaia,DF10,PTS,36.47,ug/m3,manual
2022-01-18,01:00,IFB - Samambaia,DF10,PTS,40.87,ug/m3,manual
2022-01-24,01:00,IFB - Samambaia,DF10,PTS,40.26,ug/m3,manual
2022-01-30,01:00,IFB - Samambaia,DF10,PTS,14.07,ug/m3,manual
2022-02-05,01:00,IFB - Samambaia,DF10,PTS,26.69,ug/m3,manual
2022-02-11,01:00,IFB - Samambaia,DF10,PTS,13.88,ug/m3,manual
2022-02-17,01:00,IFB - Samambaia,DF10,PTS,16.4,ug/m3,manual
2022-03-05,01:00,Rodoviária do Plano Piloto,DF03,MP10,29.56,ug/m3,manual
2022-03-11,01:00,Rodoviária do Plano Piloto,DF03,MP10,35.01,ug/m3,manual
2022-03-17,01:00,Rodoviária do Plano Piloto,DF03,MP10,30.59,ug/m3,manual
2022-03-23,01:00,Rodoviária do Plano Piloto,DF03,MP10,39.11,ug/m3,manual
2022-03-29,01:00,Rodoviária do Plano Piloto,DF03,MP10,51.29,ug/m3,manual
2022-03-05,01:00,Jardim Zoológico de Brasília,DF04,MP10,5.03,ug/m3,manual
2022-03-11,01:00,Jardim Zoológico de Brasília,DF04,MP10,9.23,ug/m3,manual
2022-03-17,01:00,Jardim Zoológico de Brasília,DF04,MP10,4.96,ug/m3,manual
2022-03-23,01:00,Jardim Zoológico de Brasília,DF04,MP10,5.61,ug/m3,manual
2022-03-29,01:00,Jardim Zoológico de Brasília,DF04,MP10,9.53,ug/m3,manual
2022-03-23,01:00,Fercal I,DF01,MP10,44.35,ug/m3,manual
2022-03-29,01:00,Fercal I,DF01,MP10,43.47,ug/m3,manual
2022-03-17,01:00,Fercal I,DF01,PTS,116.9,ug/m3,manual
2022-03-13,01:00,IFB - Samambaia,DF10,PTS,36.18,ug/m3,manual
2022-03-19,01:00,IFB - Samambaia,DF10,PTS,50.75,ug/m3,manual
2022-03-25,01:00,IFB - Samambaia,DF10,PTS,64.08,ug/m3,manual
2022-04-04,01:00,Rodoviária do Plano Piloto,DF03,MP10,39.96,ug/m3,manual
2022-04-10,01:00,Rodoviária do Plano Piloto,DF03,MP10,21.8,ug/m3,manual
2022-04-16,01:00,Rodoviária do Plano Piloto,DF03,MP10,21.2,ug/m3,manual
2022-04-22,01:00,Rodoviária do Plano Piloto,DF03,MP10,33.97,ug/m3,manual
2022-04-28,01:00,Rodoviária do Plano Piloto,DF03,MP10,40.41,ug/m3,manual
2022-04-04,01:00,Jardim Zoológico de Brasília,DF04,MP10,38.94,ug/m3,manual
2022-04-10,01:00,Jardim Zoológico de Brasília,DF04,MP10,5.7,ug/m3,manual
2022-04-16,01:00,Jardim Zoológico de Brasília,DF04,MP10,4.13,ug/m3,manual
2022-04-22,01:00,Jardim Zoológico de Brasília,DF04,MP10,16.09,ug/m3,manual
2022-04-28,01:00,Jardim Zoológico de Brasília,DF04,MP10,10.21,ug/m3,manual
2022-04-04,01:00,Fercal I,DF01,MP10,77.86,ug/m3,manual
2022-04-10,01:00,Fercal I,DF01,MP10,39.68,ug/m3,manual
2022-04-16,01:00,Fercal I,DF01,MP10,39.15,ug/m3,manual
2022-04-22,01:00,Fercal I,DF01,MP10,41.88,ug/m3,manual
2022-04-28,01:00,Fercal I,DF01,MP10,61.61,ug/m3,manual
2022-04-04,01:00,Fercal I,DF01,PTS,404.79,ug/m3,manual
2022-04-10,01:00,Fercal I,DF01,PTS,224.81,ug/m3,manual
2022-04-16,01:00,Fercal I,DF01,PTS,221.58,ug/m3,manual
2022-04-12,01:00,IFB - Samambaia,DF10,PTS,28.74,ug/m3,manual
2022-04-18,01:00,IFB - Samambaia,DF10,PTS,47.84,ug/m3,manual
2022-04-24,01:00,IFB - Samambaia,DF10,PTS,44.8,ug/m3,manual
2022-04-30,01:00,IFB - Samambaia,DF10,PTS,46.47,ug/m3,manual
2022-05-04,01:00,Rodoviária do Plano Piloto,DF03,MP10,55.59,ug/m3,manual
2022-05-10,01:00,Rodoviária do Plano Piloto,DF03,MP10,46.28,ug/m3,manual
2022-05-16,01:00,Rodoviária do Plano Piloto,DF03,MP10,37.08,ug/m3,manual
2022-05-22,01:00,Rodoviária do Plano Piloto,DF03,MP10,48.61,ug/m3,manual
2022-05-28,01:00,Rodoviária do Plano Piloto,DF03,MP10,106.27,ug/m3,manual
2022-05-04,01:00,Jardim Zoológico de Brasília,DF04,MP10,18.59,ug/m3,manual
